N;ALTITUD;CIUDAD;DEPARTAMENTO;DISTRITO;LATITUD;LONGITUD;N_ESTACION;N_ZONA;PROVINCIA;RANGO;ZONA_CLIMÁTICA
85;3927;Yauri;Cusco;Espinar;-14° 49';-71° 25';757;5;Espinar;4000 - 4800;Alto Andino
86;218;Ferreñafe;Lambayeque;Ferreñafe;-06° 39';-79° 25';335;1;Ferreñafe;0 - 2000;Desértico Costero
87;3370;Ubinas;Moquegua;Ubinas;-16° 23';-70° 51';851;3;General Sánchez Cerro;2000 - 3000;Interandino Bajo
88;1503;Marmot;La Libertad;Marmot;-07° 41';-78° 37';230;2;Gran Chimú (2 Desértico);400 - 2000;Desértico 
89;3376;Chuquibambilla;Apurimac;Chuquibambilla;-14° 06';-72° 42';757;5;Grau;4000 - 4800;Alto Andino
90;3191;Huacaybamba;Huánuco;Huacaybamba;-09° 02';-76° 57';552;4;Huacaybamba (4 Mesoandino);3000 - 4000;Mesoandino
91;3716;Hualgayoc;Cajamarca;Hualgayoc;-06° 46';-78° 36';359;4;Hualgayoc (4 Mesoandino);3000 - 4000;Mesoandino
92;412;Pasarraya;San Martín;Alto Saposoa;-06° 45';-76° 48';383;9;Huallaga;400 - 1000;Tropical Húmedo
93;3436;Llata;Huánuco;Llata;-09° 33';-76° 48';404;4;Huamalíes;3000 - 4000;Mesoandino
94;3394;Socos;Ayacucho;Socos;-13° 12';-74° 17';664;4;Huamanga;3000 - 4000;Mesoandino
95;3427;Huanca Sancos;Ayacucho;Sancos;-13° 76';-74° 31';757;5;Huanca Sancos;4000 - 4800;Alto Andino
96;2449;Sapalache;Piura;El Carmen De La Frontera;-05° 08';-79° 26';359;4;Huancabamba (4 Mesoandino);3000 - 4000;Mesoandino
97;2307;Huancabamba ;Piura;Huancabamba ;-05° 14';-79° 27';208;8;Huancabamba (8 Subtropical Húmedo);400 - 2000;Subtropical Húmedo
98;3880;Rosaspata;Puno;Rosaspata;-15° 12';-69° 45';786;4;Huancané (4 Mesoandino);3000 - 4000;Mesoandino
99;3848;Huancane;Puno;Huancane;-15° 12';-69° 45';879;7;Huancané (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
100;3690;Huancavelica;Huancavelica;Huancavelica;-12° 47';-74° 58';648;4;Huancavelica;3000 - 4000;Mesoandino
101;3245;Huancayo;Junín;Huancayo;-12° 04';-75° 13';635;4;Huancayo;3000 - 4000;Mesoandino
102;3239;San Jose de Secce;Ayacucho;Santillana;-12° 45';-74° 15';664;4;Huanta (4 Mesoandino);3000 - 4000;Mesoandino
103;2716;Huánuco;Huánuco;Huánuco;-09° 55';-76° 14';404;4;Huánuco;3000 - 4000;Mesoandino
104;178;Huaral;Lima;Huaral;-12° 20';-77° 10';536;1;Huaral;0 - 2000;Desértico Costero
105;3642;Pampas;Ancash;Pampas;-09° 39';-77° 49';554;5;Huaraz (5 Alto Andino);4000 - 4800;Alto Andino
106;3150;Colcabamba;Ancash;Colcabamba;-09° 35';-77° 48';441;6;Huaraz (6 Nevado);4800 - 5800;Nevado
107;3110;Huari;Ancash;Huari;-09° 20';-77° 10';404;4;Huari;3000 - 4000;Mesoandino
108;12;Huarmey;Ancash;Huarmey;-10° 04';-78° 09';435;1;Huarmey;0 - 2000;Desértico Costero
109;2386;Matucana;Lima;Matucana;-11° 51';-76° 23';633;4;Huarochiri;3000 - 4000;Mesoandino
110;67;Ambar;Lima;Ambar;-11° 49';-77° 37';536;1;Huaura;0 - 2000;Desértico Costero
111;2919;Santo Toribio;Ancash;Santo Toribio;-08° 52';-77° 54';404;4;Huaylas (4 Mesoandino);3000 - 4000;Mesoandino
112;2278;Caraz;Ancash;Caraz;-09° 03';-77° 49';538;7;Huaylas (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
113;4475;Pilpichaca;Huancavelica;Pilpichaca;-13° 15';-75° 05';647;4;Huaytará;3000 - 4000;Mesoandino
114;395;Tate;Ica;Tate;-14° 09';-75° 42';700;1;Ica;0 - 2000;Desértico Costero
115;80;El Algarrobal;Moquegua;El Algarrobal;-17° 37';-71° 17';840;1;Ilo;0 - 2000;Desértico Costero
116;13;Mollendo;Arequipa;Mollendo;-17° 02';-72° 01';800;1;Islay (1 Desértico Costero);0 - 2000;Desértico Costero
117;721;ND;Arequipa;ND;-17° 02';-71°52';750;3;Islay (3 Interandino Bajo);2000 - 3000;Interandino Bajo
118;1627;Chontali;Cajamarca;Chontali;-05° 39';-79° 05';250;7;Jaén;2000 - 3000;Ceja de Montaña
119;3370;Jauja;Junín;Jauja;-11° 47';-75° 29';503;4;Jauja;3000 - 4000;Mesoandino
120;596;Locumba;Tacna;Locumba;-17° 36';-70° 45';807;2;Jorge Basadre (2 Desértico);400 - 2000;Desértico 
121;1384;Ilabaya;Tacna;Ilabaya;-17° 25';-70° 30';139;3;Jorge Basadre (3 Interandino Bajo);2000 - 3000;Interandino Bajo
122;3412;Julcán;La Libertad;Julcán;-08° 02';-78° 29';374;4;Julcán;3000 - 4000;Mesoandino
123;4113;Junín;Junín;Junín;-11° 09';-75° 59';554;5;Junín;4000 - 4800;Alto Andino
124;2764;Lucma;Cusco;Vilcabamba;-13° 03';-72° 56';684;4;La Convención (4 Mesoandino);3000 - 4000;Mesoandino
125;990;Quillabamba;Cusco;Santa Ana;-12° 42';-72° 42';606;8;La Convención (8 Subtropical Húmedo);400 - 2000;Subtropical Húmedo
126;3319;Tambo;Ayacucho;Tambo;-12° 57';-74° 01';736;4;La Mar (4 Mesoandino);3000 - 4000;Mesoandino
127;2683;Cotahuasi;Arequipa;Cotahuasi;-15° 12';-72° 53';749;6;La Unión;4800 - 5800;Nevado
128;790;Lamas;San Martín;Lamas;-06° 25';-76° 31';383;9;Lamas;400 - 1000;Tropical Húmedo
129;18;Lambayeque;Lambayeque;Lambayeque;-06° 42';-79° 55';301;1;Lambayeque (1 Desértico Costero);0 - 2000;Desértico Costero
130;200;Chochope;Lambayeque;Chochope;-06° 09';-79° 38';208;8;Lambayeque (8 Subtropical Húmedo);400 - 2000;Subtropical Húmedo
131;4371;Paratia;Puno;Paratia;-15° 27';-70° 36';779;5;Lampa;4000 - 4800;Alto Andino
132;3831;Queropalca;Huánuco;Queropalca;-10° 10';-76° 48';554;5;Lauricocha;4000 - 4800;Alto Andino
133;800;Tingo María;Huánuco;Rupa-Rupa;-09° 15';-75° 54';469;8;Leoncio Prado;400 - 2000;Subtropical Húmedo
134;107;San Miguel;Lima;San Miguel;-12° 05';-77° 05';536;1;Lima;0 - 2000;Desértico Costero
135;98;Nauta;Loreto;Nauta;-04° 27';-73° 31';278;9;Loreto;400 - 1000;Tropical Húmedo
136;3219;Puquio;Ayacucho;Puquio;-14° 42';-74° 08';736;4;Lucanas (4 Mesoandino);3000 - 4000;Mesoandino
137;3555;San Cristobal;Ayacucho;San Cristobal;-14° 44';-74° 13';749;6;Lucanas (6 Nevado);4800 - 5800;Nevado
138;2471;Luya Viejo;Amazonas;Luya Viejo;-06° 12';-77° 57';375;7;Luya;2000 - 3000;Ceja de Montaña
139;527;Salvacion;Madre de Dios;Manu;-12° 50';-71° 21';240;7;Manu;2000 - 3000;Ceja de Montaña
140;2919;Panao;Huánuco;Panao;-08° 39';-76° 50';207;3;Marañón (3 Interandino Bajo);2000 - 3000;Interandino Bajo
141;1940;Huacrachuco;Huánuco;Huacrachuco;-08° 36';-77° 08';377;7;Marañón (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
142;282;Juanjui;San Martín;Juanjui;-07° 10';-76° 43';359;4;Mariscal Cáceres (4 Mesoandino);3000 - 4000;Mesoandino
143;315;Campanilla;San Martín;Campanilla;-07° 28';-76° 39';382;9;Mariscal Cáceres (9 Tropical Húmedo);400 - 1000;Tropical Húmedo
144;3028;Musga;Ancash;Musga;-08° 54';-77° 20';404;4;Mariscal Luzuriaga (4 Mesoandino);3000 - 4000;Mesoandino
145;3053;Lucma;Ancash;Lucma;-08° 55';-77° 24';444;6;Mariscal Luzuriaga (6 Nevado);4800 - 5800;Nevado
146;1420;Moquegua;Moquegua;Moquegua;-17° 12';-70° 58';806;3;Mariscal Nieto;2000 - 3000;Interandino Bajo
147;107;Caballococha;Loreto;Ramón Castilla;-03° 55';-70° 31';291;9;Mariscal Ramón Castilla;400 - 1000;Tropical Húmedo
148;126;Iquitos;Loreto;Huarochiri;-03° 45';-73° 16';140100;9;Maynas;400 - 1000;Tropical Húmedo
